"filename", "language", "TypeScript", "SCSS", "HTML", "XML", "JSON", "comment", "blank", "total"
"h:\DA12\15_modul15\join2\src\app\app-routing.module.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 3, 22
"h:\DA12\15_modul15\join2\src\app\app.component.html", "HTML", 0, 0, 1, 0, 0, 0, 0, 1
"h:\DA12\15_modul15\join2\src\app\app.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1
"h:\DA12\15_modul15\join2\src\app\app.component.spec.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 5, 36
"h:\DA12\15_modul15\join2\src\app\app.component.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 4, 16
"h:\DA12\15_modul15\join2\src\app\app.module.ts", "TypeScript", 78, 0, 0, 0, 0, 0, 4, 82
"h:\DA12\15_modul15\join2\src\app\auth-confirm-new-password\auth-confirm-new-password.component.html", "HTML", 0, 0, 59, 0, 0, 0, 10, 69
"h:\DA12\15_modul15\join2\src\app\auth-confirm-new-password\auth-confirm-new-password.component.scss", "SCSS", 0, 205, 0, 0, 0, 4, 40, 249
"h:\DA12\15_modul15\join2\src\app\auth-confirm-new-password\auth-confirm-new-password.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"h:\DA12\15_modul15\join2\src\app\auth-confirm-new-password\auth-confirm-new-password.component.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 8, 38
"h:\DA12\15_modul15\join2\src\app\auth-log-in\auth-log-in.component.html", "HTML", 0, 0, 65, 0, 0, 0, 8, 73
"h:\DA12\15_modul15\join2\src\app\auth-log-in\auth-log-in.component.scss", "SCSS", 0, 368, 0, 0, 0, 5, 70, 443
"h:\DA12\15_modul15\join2\src\app\auth-log-in\auth-log-in.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"h:\DA12\15_modul15\join2\src\app\auth-log-in\auth-log-in.component.ts", "TypeScript", 64, 0, 0, 0, 0, 0, 9, 73
"h:\DA12\15_modul15\join2\src\app\auth-password-mail\auth-password-mail.component.html", "HTML", 0, 0, 44, 0, 0, 0, 9, 53
"h:\DA12\15_modul15\join2\src\app\auth-password-mail\auth-password-mail.component.scss", "SCSS", 0, 205, 0, 0, 0, 7, 41, 253
"h:\DA12\15_modul15\join2\src\app\auth-password-mail\auth-password-mail.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"h:\DA12\15_modul15\join2\src\app\auth-password-mail\auth-password-mail.component.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 8, 38
"h:\DA12\15_modul15\join2\src\app\auth-sign-up\auth-sign-up.component.html", "HTML", 0, 0, 68, 0, 0, 0, 12, 80
"h:\DA12\15_modul15\join2\src\app\auth-sign-up\auth-sign-up.component.scss", "SCSS", 0, 201, 0, 0, 0, 7, 40, 248
"h:\DA12\15_modul15\join2\src\app\auth-sign-up\auth-sign-up.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"h:\DA12\15_modul15\join2\src\app\auth-sign-up\auth-sign-up.component.ts", "TypeScript", 134, 0, 0, 0, 0, 31, 27, 192
"h:\DA12\15_modul15\join2\src\app\info-help\info-help.component.html", "HTML", 0, 0, 52, 0, 0, 0, 6, 58
"h:\DA12\15_modul15\join2\src\app\info-help\info-help.component.scss", "SCSS", 0, 24, 0, 0, 0, 0, 6, 30
"h:\DA12\15_modul15\join2\src\app\info-help\info-help.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 5, 22
"h:\DA12\15_modul15\join2\src\app\info-help\info-help.component.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 3, 11
"h:\DA12\15_modul15\join2\src\app\info-legal-notice\info-legal-notice.component.html", "HTML", 0, 0, 1, 0, 0, 0, 1, 2
"h:\DA12\15_modul15\join2\src\app\info-legal-notice\info-legal-notice.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1
"h:\DA12\15_modul15\join2\src\app\info-legal-notice\info-legal-notice.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 5, 22
"h:\DA12\15_modul15\join2\src\app\info-legal-notice\info-legal-notice.component.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 3, 11
"h:\DA12\15_modul15\join2\src\app\info-privacy-policy\info-privacy-policy.component.html", "HTML", 0, 0, 6, 0, 0, 0, 2, 8
"h:\DA12\15_modul15\join2\src\app\info-privacy-policy\info-privacy-policy.component.scss", "SCSS", 0, 27, 0, 0, 0, 0, 7, 34
"h:\DA12\15_modul15\join2\src\app\info-privacy-policy\info-privacy-policy.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 5, 22
"h:\DA12\15_modul15\join2\src\app\info-privacy-policy\info-privacy-policy.component.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 3, 11
"h:\DA12\15_modul15\join2\src\app\main-add-task\main-add-task.component.html", "HTML", 0, 0, 160, 0, 0, 0, 26, 186
"h:\DA12\15_modul15\join2\src\app\main-add-task\main-add-task.component.scss", "SCSS", 0, 717, 0, 0, 0, 2, 155, 874
"h:\DA12\15_modul15\join2\src\app\main-add-task\main-add-task.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"h:\DA12\15_modul15\join2\src\app\main-add-task\main-add-task.component.ts", "TypeScript", 329, 0, 0, 0, 0, 3, 41, 373
"h:\DA12\15_modul15\join2\src\app\main-board\main-board.component.html", "HTML", 0, 0, 219, 0, 0, 30, 55, 304
"h:\DA12\15_modul15\join2\src\app\main-board\main-board.component.scss", "SCSS", 0, 427, 0, 0, 0, 20, 86, 533
"h:\DA12\15_modul15\join2\src\app\main-board\main-board.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"h:\DA12\15_modul15\join2\src\app\main-board\main-board.component.ts", "TypeScript", 326, 0, 0, 0, 0, 59, 54, 439
"h:\DA12\15_modul15\join2\src\app\main-contacts\main-contacts.component.html", "HTML", 0, 0, 89, 0, 0, 0, 11, 100
"h:\DA12\15_modul15\join2\src\app\main-contacts\main-contacts.component.scss", "SCSS", 0, 333, 0, 0, 0, 14, 76, 423
"h:\DA12\15_modul15\join2\src\app\main-contacts\main-contacts.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"h:\DA12\15_modul15\join2\src\app\main-contacts\main-contacts.component.ts", "TypeScript", 133, 0, 0, 0, 0, 1, 19, 153
"h:\DA12\15_modul15\join2\src\app\main-dialog-add-contact\main-dialog-add-contact.component.html", "HTML", 0, 0, 75, 0, 0, 0, 13, 88
"h:\DA12\15_modul15\join2\src\app\main-dialog-add-contact\main-dialog-add-contact.component.scss", "SCSS", 0, 221, 0, 0, 0, 1, 47, 269
"h:\DA12\15_modul15\join2\src\app\main-dialog-add-contact\main-dialog-add-contact.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 5, 22
"h:\DA12\15_modul15\join2\src\app\main-dialog-add-contact\main-dialog-add-contact.component.ts", "TypeScript", 97, 0, 0, 0, 0, 1, 15, 113
"h:\DA12\15_modul15\join2\src\app\main-dialog-add-task\main-dialog-add-task.component.html", "HTML", 0, 0, 172, 0, 0, 0, 25, 197
"h:\DA12\15_modul15\join2\src\app\main-dialog-add-task\main-dialog-add-task.component.scss", "SCSS", 0, 731, 0, 0, 0, 2, 158, 891
"h:\DA12\15_modul15\join2\src\app\main-dialog-add-task\main-dialog-add-task.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 5, 22
"h:\DA12\15_modul15\join2\src\app\main-dialog-add-task\main-dialog-add-task.component.ts", "TypeScript", 338, 0, 0, 0, 0, 4, 41, 383
"h:\DA12\15_modul15\join2\src\app\main-dialog-edit-contact\main-dialog-edit-contact.component.html", "HTML", 0, 0, 76, 0, 0, 2, 14, 92
"h:\DA12\15_modul15\join2\src\app\main-dialog-edit-contact\main-dialog-edit-contact.component.scss", "SCSS", 0, 226, 0, 0, 0, 1, 48, 275
"h:\DA12\15_modul15\join2\src\app\main-dialog-edit-contact\main-dialog-edit-contact.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 5, 22
"h:\DA12\15_modul15\join2\src\app\main-dialog-edit-contact\main-dialog-edit-contact.component.ts", "TypeScript", 96, 0, 0, 0, 0, 3, 14, 113
"h:\DA12\15_modul15\join2\src\app\main-dialog-task-details-and-edit-edit-view\main-dialog-task-details-and-edit-edit-view.component.html", "HTML", 0, 0, 168, 0, 0, 2, 26, 196
"h:\DA12\15_modul15\join2\src\app\main-dialog-task-details-and-edit-edit-view\main-dialog-task-details-and-edit-edit-view.component.scss", "SCSS", 0, 731, 0, 0, 0, 2, 158, 891
"h:\DA12\15_modul15\join2\src\app\main-dialog-task-details-and-edit-edit-view\main-dialog-task-details-and-edit-edit-view.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 5, 22
"h:\DA12\15_modul15\join2\src\app\main-dialog-task-details-and-edit-edit-view\main-dialog-task-details-and-edit-edit-view.component.ts", "TypeScript", 407, 0, 0, 0, 0, 33, 65, 505
"h:\DA12\15_modul15\join2\src\app\main-dialog-task-details-and-edit-task-view\main-dialog-task-details-and-edit-task-view.component.html", "HTML", 0, 0, 69, 0, 0, 5, 9, 83
"h:\DA12\15_modul15\join2\src\app\main-dialog-task-details-and-edit-task-view\main-dialog-task-details-and-edit-task-view.component.scss", "SCSS", 0, 242, 0, 0, 0, 0, 51, 293
"h:\DA12\15_modul15\join2\src\app\main-dialog-task-details-and-edit-task-view\main-dialog-task-details-and-edit-task-view.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 5, 22
"h:\DA12\15_modul15\join2\src\app\main-dialog-task-details-and-edit-task-view\main-dialog-task-details-and-edit-task-view.component.ts", "TypeScript", 65, 0, 0, 0, 0, 3, 14, 82
"h:\DA12\15_modul15\join2\src\app\main-dialog-task-details-and-edit\main-dialog-task-details-and-edit.component.html", "HTML", 0, 0, 2, 0, 0, 0, 0, 2
"h:\DA12\15_modul15\join2\src\app\main-dialog-task-details-and-edit\main-dialog-task-details-and-edit.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1
"h:\DA12\15_modul15\join2\src\app\main-dialog-task-details-and-edit\main-dialog-task-details-and-edit.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 5, 22
"h:\DA12\15_modul15\join2\src\app\main-dialog-task-details-and-edit\main-dialog-task-details-and-edit.component.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 6, 29
"h:\DA12\15_modul15\join2\src\app\main-header-profile-dialog\main-header-profile-dialog.component.html", "HTML", 0, 0, 4, 0, 0, 0, 0, 4
"h:\DA12\15_modul15\join2\src\app\main-header-profile-dialog\main-header-profile-dialog.component.scss", "SCSS", 0, 24, 0, 0, 0, 2, 6, 32
"h:\DA12\15_modul15\join2\src\app\main-header-profile-dialog\main-header-profile-dialog.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 5, 22
"h:\DA12\15_modul15\join2\src\app\main-header-profile-dialog\main-header-profile-dialog.component.ts", "TypeScript", 32, 0, 0, 0, 0, 2, 5, 39
"h:\DA12\15_modul15\join2\src\app\main-header\main-header.component.html", "HTML", 0, 0, 8, 0, 0, 0, 0, 8
"h:\DA12\15_modul15\join2\src\app\main-header\main-header.component.scss", "SCSS", 0, 51, 0, 0, 0, 1, 10, 62
"h:\DA12\15_modul15\join2\src\app\main-header\main-header.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"h:\DA12\15_modul15\join2\src\app\main-header\main-header.component.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 7, 52
"h:\DA12\15_modul15\join2\src\app\main-summary\main-summary.component.html", "HTML", 0, 0, 74, 0, 0, 0, 6, 80
"h:\DA12\15_modul15\join2\src\app\main-summary\main-summary.component.scss", "SCSS", 0, 509, 0, 0, 0, 2, 115, 626
"h:\DA12\15_modul15\join2\src\app\main-summary\main-summary.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"h:\DA12\15_modul15\join2\src\app\main-summary\main-summary.component.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 8, 69
"h:\DA12\15_modul15\join2\src\app\main\main.component.html", "HTML", 0, 0, 47, 0, 0, 3, 4, 54
"h:\DA12\15_modul15\join2\src\app\main\main.component.scss", "SCSS", 0, 165, 0, 0, 0, 0, 31, 196
"h:\DA12\15_modul15\join2\src\app\main\main.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"h:\DA12\15_modul15\join2\src\app\main\main.component.ts", "TypeScript", 50, 0, 0, 0, 0, 3, 9, 62
"h:\DA12\15_modul15\join2\src\app\services\auth.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 5, 17
"h:\DA12\15_modul15\join2\src\app\services\auth.service.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 5, 19
"h:\DA12\15_modul15\join2\src\app\services\board-comm.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 5, 17
"h:\DA12\15_modul15\join2\src\app\services\board-comm.service.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 12, 31
"h:\DA12\15_modul15\join2\src\app\services\main-communication.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 5, 17
"h:\DA12\15_modul15\join2\src\app\services\main-communication.service.ts", "TypeScript", 29, 0, 0, 0, 0, 2, 9, 40
"h:\DA12\15_modul15\join2\src\app\services\task-data.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 5, 17
"h:\DA12\15_modul15\join2\src\app\services\task-data.service.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 6, 30
"h:\DA12\15_modul15\join2\src\app\services\task-details-comm.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 5, 17
"h:\DA12\15_modul15\join2\src\app\services\task-details-comm.service.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 6, 22
"h:\DA12\15_modul15\join2\src\app\services\user-data.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 5, 17
"h:\DA12\15_modul15\join2\src\app\services\user-data.service.ts", "TypeScript", 175, 0, 0, 0, 0, 0, 176, 351
"h:\DA12\15_modul15\join2\src\app\shared\shared.module.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 4, 13
"h:\DA12\15_modul15\join2\src\app\shared\validators\custom-validators.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 3, 19
