Date : 2023-11-25 15:45:22
Directory : h:\DA12\15_modul15\join2\src
Total : 112 files,  10533 codes, 384 comments, 2217 blanks, all 13134 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| SCSS       |         22 |      5,766 |        102 |      1,216 |      7,084 |
| TypeScript |         65 |      3,225 |        240 |        758 |      4,223 |
| HTML       |         22 |      1,481 |         42 |        240 |      1,763 |
| XML        |          2 |         42 |          0 |          2 |         44 |
| JSON       |          1 |         19 |          0 |          1 |         20 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                          |        112 |     10,533 |        384 |      2,217 |     13,134 |
| . (Files)                                                                                                                                  |          5 |        401 |         81 |         84 |        566 |
| app                                                                                                                                        |        100 |     10,014 |        257 |      2,121 |     12,392 |
| app (Files)                                                                                                                                |          6 |        141 |          0 |         17 |        158 |
| app\auth-confirm-new-password                                                                                                              |          4 |        312 |          4 |         64 |        380 |
| app\auth-log-in                                                                                                                            |          4 |        515 |          5 |         93 |        613 |
| app\auth-password-mail                                                                                                                     |          4 |        297 |          7 |         64 |        368 |
| app\auth-sign-up                                                                                                                           |          4 |        421 |         38 |         85 |        544 |
| app\info-help                                                                                                                              |          4 |        101 |          0 |         20 |        121 |
| app\info-legal-notice                                                                                                                      |          4 |         26 |          0 |         10 |         36 |
| app\info-privacy-policy                                                                                                                    |          4 |         58 |          0 |         17 |         75 |
| app\main                                                                                                                                   |          4 |        280 |          6 |         50 |        336 |
| app\main-add-task                                                                                                                          |          4 |      1,224 |          5 |        228 |      1,457 |
| app\main-board                                                                                                                             |          4 |        990 |        109 |        201 |      1,300 |
| app\main-contacts                                                                                                                          |          4 |        573 |         15 |        112 |        700 |
| app\main-dialog-add-contact                                                                                                                |          4 |        410 |          2 |         80 |        492 |
| app\main-dialog-add-task                                                                                                                   |          4 |      1,258 |          6 |        229 |      1,493 |
| app\main-dialog-edit-contact                                                                                                               |          4 |        415 |          6 |         81 |        502 |
| app\main-dialog-task-details-and-edit                                                                                                      |          4 |         42 |          0 |         12 |         54 |
| app\main-dialog-task-details-and-edit-edit-view                                                                                            |          4 |      1,323 |         37 |        254 |      1,614 |
| app\main-dialog-task-details-and-edit-task-view                                                                                            |          4 |        393 |          8 |         79 |        480 |
| app\main-header                                                                                                                            |          4 |        122 |          1 |         23 |        146 |
| app\main-header-profile-dialog                                                                                                             |          4 |         77 |          4 |         16 |         97 |
| app\main-summary                                                                                                                           |          4 |        662 |          2 |        135 |        799 |
| app\services                                                                                                                               |         12 |        349 |          2 |        244 |        595 |
| app\shared                                                                                                                                 |          2 |         25 |          0 |          7 |         32 |
| app\shared (Files)                                                                                                                         |          1 |          9 |          0 |          4 |         13 |
| app\shared\validators                                                                                                                      |          1 |         16 |          0 |          3 |         19 |
| assets                                                                                                                                     |          3 |         61 |          0 |          3 |         64 |
| assets\img                                                                                                                                 |          3 |         61 |          0 |          3 |         64 |
| assets\img\favicon                                                                                                                         |          3 |         61 |          0 |          3 |         64 |
| environments                                                                                                                               |          2 |         22 |         11 |          4 |         37 |
| models                                                                                                                                     |          2 |         35 |         35 |          5 |         75 |
+--------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                   | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| h:\DA12\15_modul15\join2\src\app\app-routing.module.ts                                                                                     | TypeScript |         19 |          0 |          3 |         22 |
| h:\DA12\15_modul15\join2\src\app\app.component.html                                                                                        | HTML       |          1 |          0 |          0 |          1 |
| h:\DA12\15_modul15\join2\src\app\app.component.scss                                                                                        | SCSS       |          0 |          0 |          1 |          1 |
| h:\DA12\15_modul15\join2\src\app\app.component.spec.ts                                                                                     | TypeScript |         31 |          0 |          5 |         36 |
| h:\DA12\15_modul15\join2\src\app\app.component.ts                                                                                          | TypeScript |         12 |          0 |          4 |         16 |
| h:\DA12\15_modul15\join2\src\app\app.module.ts                                                                                             | TypeScript |         78 |          0 |          4 |         82 |
| h:\DA12\15_modul15\join2\src\app\auth-confirm-new-password\auth-confirm-new-password.component.html                                        | HTML       |         59 |          0 |         10 |         69 |
| h:\DA12\15_modul15\join2\src\app\auth-confirm-new-password\auth-confirm-new-password.component.scss                                        | SCSS       |        205 |          4 |         40 |        249 |
| h:\DA12\15_modul15\join2\src\app\auth-confirm-new-password\auth-confirm-new-password.component.spec.ts                                     | TypeScript |         18 |          0 |          6 |         24 |
| h:\DA12\15_modul15\join2\src\app\auth-confirm-new-password\auth-confirm-new-password.component.ts                                          | TypeScript |         30 |          0 |          8 |         38 |
| h:\DA12\15_modul15\join2\src\app\auth-log-in\auth-log-in.component.html                                                                    | HTML       |         65 |          0 |          8 |         73 |
| h:\DA12\15_modul15\join2\src\app\auth-log-in\auth-log-in.component.scss                                                                    | SCSS       |        368 |          5 |         70 |        443 |
| h:\DA12\15_modul15\join2\src\app\auth-log-in\auth-log-in.component.spec.ts                                                                 | TypeScript |         18 |          0 |          6 |         24 |
| h:\DA12\15_modul15\join2\src\app\auth-log-in\auth-log-in.component.ts                                                                      | TypeScript |         64 |          0 |          9 |         73 |
| h:\DA12\15_modul15\join2\src\app\auth-password-mail\auth-password-mail.component.html                                                      | HTML       |         44 |          0 |          9 |         53 |
| h:\DA12\15_modul15\join2\src\app\auth-password-mail\auth-password-mail.component.scss                                                      | SCSS       |        205 |          7 |         41 |        253 |
| h:\DA12\15_modul15\join2\src\app\auth-password-mail\auth-password-mail.component.spec.ts                                                   | TypeScript |         18 |          0 |          6 |         24 |
| h:\DA12\15_modul15\join2\src\app\auth-password-mail\auth-password-mail.component.ts                                                        | TypeScript |         30 |          0 |          8 |         38 |
| h:\DA12\15_modul15\join2\src\app\auth-sign-up\auth-sign-up.component.html                                                                  | HTML       |         68 |          0 |         12 |         80 |
| h:\DA12\15_modul15\join2\src\app\auth-sign-up\auth-sign-up.component.scss                                                                  | SCSS       |        201 |          7 |         40 |        248 |
| h:\DA12\15_modul15\join2\src\app\auth-sign-up\auth-sign-up.component.spec.ts                                                               | TypeScript |         18 |          0 |          6 |         24 |
| h:\DA12\15_modul15\join2\src\app\auth-sign-up\auth-sign-up.component.ts                                                                    | TypeScript |        134 |         31 |         27 |        192 |
| h:\DA12\15_modul15\join2\src\app\info-help\info-help.component.html                                                                        | HTML       |         52 |          0 |          6 |         58 |
