"filename", "language", "TypeScript", "SCSS", "HTML", "XML", "JSON", "comment", "blank", "total"
"h:\DA12\15_modul15\join2\src\assets\img\favicon\browserconfig.xml", "XML", 0, 0, 0, -9, 0, 0, -1, -10
"h:\DA12\15_modul15\join2\src\assets\img\favicon\safari-pinned-tab.svg", "XML", 0, 0, 0, -33, 0, 0, -1, -34
"h:\DA12\15_modul15\join2\src\assets\img\favicon\site.webmanifest", "JSON", 0, 0, 0, 0, -19, 0, -1, -20
"h:\DA12\15_modul15\join2\src\environments\environment.prod.ts", "TypeScript", -11, 0, 0, 0, 0, 0, -1, -12
"h:\DA12\15_modul15\join2\src\environments\environment.ts", "TypeScript", -11, 0, 0, 0, 0, -11, -3, -25
"h:\DA12\15_modul15\join2\src\index.html", "HTML", 0, 0, -22, 0, 0, 0, -3, -25
"h:\DA12\15_modul15\join2\src\main.ts", "TypeScript", -9, 0, 0, 0, 0, 0, -4, -13
"h:\DA12\15_modul15\join2\src\models\contact.class.ts", "TypeScript", 0, 0, 0, 0, 0, -35, -2, -37
"h:\DA12\15_modul15\join2\src\models\user.class.ts", "TypeScript", -35, 0, 0, 0, 0, 0, -3, -38
"h:\DA12\15_modul15\join2\src\polyfills.ts", "TypeScript", -1, 0, 0, 0, 0, -47, -6, -54
"h:\DA12\15_modul15\join2\src\styles.scss", "SCSS", 0, -359, 0, 0, 0, -32, -68, -459
"h:\DA12\15_modul15\join2\src\test.ts", "TypeScript", -10, 0, 0, 0, 0, -2, -3, -15
"Total", "-", -77, -359, -22, -42, -19, -127, -96, -742
