"filename", "language", "HTML", "TypeScript", "SCSS", "comment", "blank", "total"
"h:\DA12\15_modul15\join2\src\app\app-routing.module.ts", "TypeScript", 0, 19, 0, 0, 3, 22
"h:\DA12\15_modul15\join2\src\app\app.component.html", "HTML", 1, 0, 0, 0, 0, 1
"h:\DA12\15_modul15\join2\src\app\app.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"h:\DA12\15_modul15\join2\src\app\app.component.spec.ts", "TypeScript", 0, 31, 0, 0, 5, 36
"h:\DA12\15_modul15\join2\src\app\app.component.ts", "TypeScript", 0, 12, 0, 0, 4, 16
"h:\DA12\15_modul15\join2\src\app\app.module.ts", "TypeScript", 0, 78, 0, 0, 4, 82
"h:\DA12\15_modul15\join2\src\app\auth-confirm-new-password\auth-confirm-new-password.component.html", "HTML", 59, 0, 0, 0, 10, 69
"h:\DA12\15_modul15\join2\src\app\auth-confirm-new-password\auth-confirm-new-password.component.scss", "SCSS", 0, 0, 205, 4, 40, 249
"h:\DA12\15_modul15\join2\src\app\auth-confirm-new-password\auth-confirm-new-password.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"h:\DA12\15_modul15\join2\src\app\auth-confirm-new-password\auth-confirm-new-password.component.ts", "TypeScript", 0, 30, 0, 0, 8, 38
"h:\DA12\15_modul15\join2\src\app\auth-log-in\auth-log-in.component.html", "HTML", 65, 0, 0, 0, 8, 73
"h:\DA12\15_modul15\join2\src\app\auth-log-in\auth-log-in.component.scss", "SCSS", 0, 0, 368, 5, 70, 443
"h:\DA12\15_modul15\join2\src\app\auth-log-in\auth-log-in.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"h:\DA12\15_modul15\join2\src\app\auth-log-in\auth-log-in.component.ts", "TypeScript", 0, 64, 0, 0, 9, 73
"h:\DA12\15_modul15\join2\src\app\auth-password-mail\auth-password-mail.component.html", "HTML", 44, 0, 0, 0, 9, 53
"h:\DA12\15_modul15\join2\src\app\auth-password-mail\auth-password-mail.component.scss", "SCSS", 0, 0, 205, 7, 41, 253
"h:\DA12\15_modul15\join2\src\app\auth-password-mail\auth-password-mail.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"h:\DA12\15_modul15\join2\src\app\auth-password-mail\auth-password-mail.component.ts", "TypeScript", 0, 30, 0, 0, 8, 38
"h:\DA12\15_modul15\join2\src\app\auth-sign-up\auth-sign-up.component.html", "HTML", 68, 0, 0, 0, 12, 80
"h:\DA12\15_modul15\join2\src\app\auth-sign-up\auth-sign-up.component.scss", "SCSS", 0, 0, 201, 7, 40, 248
"h:\DA12\15_modul15\join2\src\app\auth-sign-up\auth-sign-up.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"h:\DA12\15_modul15\join2\src\app\auth-sign-up\auth-sign-up.component.ts", "TypeScript", 0, 134, 0, 31, 27, 192
"h:\DA12\15_modul15\join2\src\app\info-help\info-help.component.html", "HTML", 52, 0, 0, 0, 6, 58
"h:\DA12\15_modul15\join2\src\app\info-help\info-help.component.scss", "SCSS", 0, 0, 24, 0, 6, 30
"h:\DA12\15_modul15\join2\src\app\info-help\info-help.component.spec.ts", "TypeScript", 0, 17, 0, 0, 5, 22
"h:\DA12\15_modul15\join2\src\app\info-help\info-help.component.ts", "TypeScript", 0, 8, 0, 0, 3, 11
"h:\DA12\15_modul15\join2\src\app\info-legal-notice\info-legal-notice.component.html", "HTML", 1, 0, 0, 0, 1, 2
"h:\DA12\15_modul15\join2\src\app\info-legal-notice\info-legal-notice.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"h:\DA12\15_modul15\join2\src\app\info-legal-notice\info-legal-notice.component.spec.ts", "TypeScript", 0, 17, 0, 0, 5, 22
"h:\DA12\15_modul15\join2\src\app\info-legal-notice\info-legal-notice.component.ts", "TypeScript", 0, 8, 0, 0, 3, 11
"h:\DA12\15_modul15\join2\src\app\info-privacy-policy\info-privacy-policy.component.html", "HTML", 6, 0, 0, 0, 2, 8
"h:\DA12\15_modul15\join2\src\app\info-privacy-policy\info-privacy-policy.component.scss", "SCSS", 0, 0, 27, 0, 7, 34
"h:\DA12\15_modul15\join2\src\app\info-privacy-policy\info-privacy-policy.component.spec.ts", "TypeScript", 0, 17, 0, 0, 5, 22
